time=0.000000000, qpos=[2.75 0], qvel=[0 0], normal_force=0.0, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=0.0, contact_distance=0.0, rho=nan, mode=BOUNDARY, phase=SETTLE
time=0.005875000, qpos=[2.7500197411937837 0], qvel=[0.0050872912346333976 0], normal_force=9.52666297204015, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-1.974119378367334e-05, contact_distance=-1.974119378367334e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.006000000, qpos=[2.7500203845010791 0], qvel=[0.0051464583631283785 0], normal_force=9.533739552471063, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.0384501079107054e-05, contact_distance=-2.0384501079107054e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.006125000, qpos=[2.750021035093694 0], qvel=[0.0052047409190694952 0], normal_force=9.540749932223193, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.1035093693999585e-05, contact_distance=-2.1035093693999585e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.006250000, qpos=[2.7500216928620911 0], qvel=[0.005262147177541596 0], normal_force=9.547694677477857, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.1692862091082787e-05, contact_distance=-2.1692862091082787e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.006375000, qpos=[2.7500223576977589 0], qvel=[0.0053186853428568636 0], normal_force=9.554574349833137, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.235769775893459e-05, contact_distance=-2.235769775893459e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.006500000, qpos=[2.7500230294932027 0], qvel=[0.0053743635491277216 0], normal_force=9.561389506325481, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.302949320265313e-05, contact_distance=-2.302949320265313e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.006625000, qpos=[2.7500237081419354 0], qvel=[0.0054291898608370371 0], normal_force=9.568140699453451, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.3708141935419036e-05, contact_distance=-2.3708141935419036e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.006750000, qpos=[2.7500243935384696 0], qvel=[0.0054831722734053562 0], normal_force=9.57482847720058, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.4393538469613674e-05, contact_distance=-2.4393538469613674e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.006875000, qpos=[2.7500250855783088 0], qvel=[0.0055363187137552833 0], normal_force=9.581453383060339, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.5085578308825518e-05, contact_distance=-2.5085578308825518e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.007000000, qpos=[2.750025784157939 0], qvel=[0.0055886370408727414 0], normal_force=9.588015956059133, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.5784157938968377e-05, contact_distance=-2.5784157938968377e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.007125000, qpos=[2.7500264891748198 0], qvel=[0.00564013504636535 0], normal_force=9.594516730780448, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-2.6489174819843697e-05, contact_distance=-2.6489174819843697e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
