time=0.000000000, qpos=[2.75 0], qvel=[0 0], normal_force=0.0, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=0.0, contact_distance=0.0, rho=nan, mode=BOUNDARY, phase=SETTLE
time=0.010125000, qpos=[2.7500450904481024 0], qvel=[0.0066491197859727116 0], normal_force=9.733310250929462, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.5090448102413916e-05, contact_distance=-4.5090448102413916e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.010250000, qpos=[2.7500459257551029 0], qvel=[0.0066824560046065285 0], normal_force=9.738427329546523, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.5925755102871335e-05, contact_distance=-4.5925755102871335e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.010375000, qpos=[2.7500467651491762 0], qvel=[0.0067151525884132134 0], normal_force=9.743495032923477, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.676514917623109e-05, contact_distance=-4.676514917623109e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.010500000, qpos=[2.7500476085511401 0], qvel=[0.0067472157092977785 0], normal_force=9.748513785412868, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.76085511400548e-05, contact_distance=-4.76085511400548e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.010625000, qpos=[2.7500484558825757 0], qvel=[0.0067786514861211703 0], normal_force=9.753484007655905, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.845588257573752e-05, contact_distance=-4.845588257573752e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.010750000, qpos=[2.7500493070658241 0], qvel=[0.0068094659851641818 0], normal_force=9.758406116614642, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-4.9307065824066854e-05, contact_distance=-4.9307065824066854e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.010875000, qpos=[2.7500501620239768 0], qvel=[0.0068396652205873513 0], normal_force=9.763280525594555, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-5.0162023976785264e-05, contact_distance=-5.0162023976785264e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.011000000, qpos=[2.7500510206808713 0], qvel=[0.0068692551548880315 0], normal_force=9.768107644274359, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-5.102068087126099e-05, contact_distance=-5.102068087126099e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.011125000, qpos=[2.7500518829610838 0], qvel=[0.0068982416993537366 0], normal_force=9.772887878732497, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-5.188296108382673e-05, contact_distance=-5.188296108382673e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.011250000, qpos=[2.7500527487899231 0], qvel=[0.0069266307145121747 0], normal_force=9.777621631473501, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-5.274878992311827e-05, contact_distance=-5.274878992311827e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
time=0.011375000, qpos=[2.7500536180934243 0], qvel=[0.0069544280105779867 0], normal_force=9.782309301456284, tangential_force=0.0, Fctrl=[10 0], contact_flag=True, gap=-5.361809342430135e-05, contact_distance=-5.361809342430135e-05, rho=0.0, mode=QUASI_STICK, phase=SETTLE
